Level,School,Region,Regional_Wages,Program,Residents,Wages,Sample Cohort,,
Community,Sullivan County,Hudson Valley,"36,329",Computers and Math,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Business and Finance,74,44803,29,,
Community,Sullivan County,Hudson Valley,"36,329",Protective Services,0,0,0,,
Community,Sullivan County,Hudson Valley,"36,329",Health,65.6,61480,34,,
Community,Orange County,Hudson Valley,"36,329",Agriculture,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Art,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Technical trades,75,75816,12,,
Community,Orange County,Hudson Valley,"36,329",Communications and Media,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Law and Public Service,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Engineering,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Social Services,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Hospitality,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Education,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Computers and Math,0,0,0,,
Community,Orange County,Hudson Valley,"36,329",Business and Finance,69.2,49372,64,,
Community,Orange County,Hudson Valley,"36,329",Protective Services,70.8,79163,43,,
Community,Orange County,Hudson Valley,"36,329",Health,74.3,65490,177,,
Community,Ulster County,Hudson Valley,"36,329",Agriculture,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Art,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Technical trades,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Communications and Media,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Law and Public Service,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Engineering,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Social Services,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Hospitality,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Education,0,0,0,,
Community,Ulster County,Hudson Valley,"36,329",Computers and Math,54.2,50066,11,,
Community,Ulster County,Hudson Valley,"36,329",Business and Finance,60.5,44684,22,,
Community,Ulster County,Hudson Valley,"36,329",Protective Services,78.7,74262,37,,
Community,Ulster County,Hudson Valley,"36,329",Health,72.7,73106,75,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Agriculture,0,0,0,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Art,54.9,55361,130,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Technical trades,0,0,0,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Communications and Media,70.4,59205,167,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Law and Public Service,0,0,0,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Engineering,33.7,94841,26,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Social Services,0,0,0,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Hospitality,0,0,0,,
Comprehensive,SUNY New Paltz,Hudson Valley,"36,329",Education,80.2,83491,560,,
